merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
tanmaya bhatnagar,4,44.67,214672.83,0.64,0.29,0.05,0.81,0.19,0.11,0.28,116.57,indian,0,0,0,0,0
tano romano,1,22.0,212426.0,0.51,0.98,0.08,0.0,0.01,0.23,0.39,105.98,heavy-metal,0,0,0,0,0
tanto metro & devonte,4,20.0,196052.75,0.75,0.71,0.18,0.04,0.0,0.18,0.72,114.41,j-dance,0,0,0,0,0
tantrum desire,7,17.0,265917.43,0.54,0.95,0.07,0.0,0.7,0.21,0.3,174.15,drum-and-bass,0,0,0,0,0
tantrum desire;friction,1,16.0,253565.0,0.22,1.0,0.11,0.0,0.72,0.17,0.05,131.31,drum-and-bass,0,0,0,0,0
tanveer evan;ahmed shakib,1,67.0,304529.0,0.35,0.47,0.04,0.44,0.03,0.08,0.05,71.31,pop,0,0,0,0,0
tanveer evan;yasser desai;rajat nagpal,1,64.0,249353.0,0.6,0.48,0.03,0.44,0.0,0.1,0.26,77.98,pop,0,0,0,0,0
tanya chua,10,53.8,240457.6,0.45,0.46,0.03,0.59,0.0,0.13,0.3,117.85,mandopop,0,0,0,0,0
tanya stephens,3,26.0,228372.67,0.57,0.63,0.4,0.02,0.0,0.15,0.56,115.56,dancehall,0,0,0,0,0
tanzeel khan;aashna hegde,1,67.0,204923.0,0.7,0.5,0.04,0.6,0.0,0.08,0.41,129.98,pop,0,0,0,0,0
tanzmuzik,2,10.0,399333.0,0.45,0.38,0.07,0.76,0.91,0.14,0.13,98.58,idm,0,0,0,0,0
tapps,2,34.0,398989.0,0.68,0.84,0.04,0.0,0.4,0.12,0.84,135.81,disco,0,0,0,0,0
taproot,6,17.14,209270.29,0.46,0.95,0.1,0.0,0.26,0.47,0.31,105.8,industrial,0,0,0,0,0
tara lily,1,42.0,153000.0,0.61,0.68,0.05,0.02,0.0,0.11,0.23,77.0,british,0,0,0,0,0
tarantist,1,0.0,197434.0,0.42,0.97,0.07,0.0,0.15,0.34,0.59,169.98,iranian,0,0,0,0,0
tarek k.i.z,1,38.0,210763.0,0.62,0.66,0.34,0.15,0.0,0.1,0.52,74.72,german,0,0,0,0,0
tarik bouisfi,1,37.0,274285.0,0.51,0.95,0.05,0.0,0.89,0.19,0.3,105.01,club,0,0,0,0,0
tarik bouisfi;isekxi,1,35.0,232571.0,0.53,0.98,0.05,0.14,0.9,0.45,0.31,120.01,club,0,0,0,0,0
tarja,6,21.5,254999.17,0.42,0.64,0.05,0.25,0.16,0.35,0.17,120.45,goth,0,0,0,0,0
tarkan,2,52.5,206013.0,0.67,0.73,0.1,0.2,0.0,0.21,0.55,109.48,turkish,0,0,0,0,0
tarrus riley,1,58.0,251026.0,0.75,0.46,0.11,0.01,0.0,0.07,0.83,78.08,dancehall,0,0,0,0,0
taryn spilzman,1,26.0,76120.0,0.54,0.07,0.03,0.98,0.0,0.1,0.32,89.05,disney,0,0,0,0,0
